employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),Senior Decision Scientist - Specialty Pharmacy Growth,"New York, NY",107K,206K,"$156,303",/yr (Employer est.)
Paycom,3.5,Information Technology,Enterprise Software & Network Solutions,1998,$1 to $5 billion (USD),Data Scientist - OSU,"Oklahoma City, OK",90K,127K,"$106,868",/yr (Glassdoor est.)
Na Oiwi Kane,3.7,,,,Unknown / Non-Applicable,Data Scientist/Developer,"Silver Spring, MD",88K,131K,"$107,585",/yr (Glassdoor est.)
Johns Hopkins University,4.0,Education,Colleges & Universities,1876,$1 to $5 billion (USD),Senior Research Data Analyst,"Baltimore, MD",55K,97K,"$75,900",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),SiteOps Data Center Operations Engineer,"New Albany, OH",69K,99K,"$84,001",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Machine Learning Engineer - Health Strategic Initiative,"Cupertino, CA",200K,300K,"$250,000",/yr (Employer est.)
Link Network,4.9,,,,,AI Researcher,Remote,120K,175K,"$147,500",/yr (Employer est.)
Main Sail LLC,4.7,Media & Communication,Advertising & Public Relations,,$5 to $25 million (USD),Data Scientist,"Reston, VA",82K,114K,"$96,614",/yr (Glassdoor est.)
"World Wide Technology Holding, LLC",4.1,Information Technology,Computer Hardware Development,1990,$10+ billion (USD),Data Scientist,"Saint Louis, MO",84K,118K,"$99,700",/yr (Glassdoor est.)
Memorial Hermann Health System,3.8,Healthcare,Health Care Services & Hospitals,1906,Unknown / Non-Applicable,Sr Data Analyst - Quality-1,"Houston, TX",69K,98K,"$82,554",/yr (Glassdoor est.)
"ENSCO, Inc.",4.0,Aerospace & Defense,Aerospace & Defense,1969,$100 to $500 million (USD),Senior Data Scientist,"Fairfax, VA",113K,167K,"$137,143",/yr (Glassdoor est.)
EXL Services,3.7,Management & Consulting,Business Consulting,1999,$500 million to $1 billion (USD),Gen AI Software Developer,"Hartford, CT",110K,125K,"$117,500",/yr (Employer est.)
Warner Bros Careers,3.6,Media & Communication,Film Production,2003,$10+ billion (USD),Senior Data Scientist,"Culver City, CA",120K,222K,"$171,000",/yr (Employer est.)
AT&T,3.5,Telecommunications,Telecommunications Services,1876,$10+ billion (USD),Senior Specialist-Data Scientist,"Alpharetta, GA",159K,159K,"$159,100",/yr (Employer est.)
Nutrabolt,3.5,Personal Consumer Services,Consumer Product Rental,2002,Unknown / Non-Applicable,Supply Chain Data Scientist,"Austin, TX",82K,116K,"$97,910",/yr (Glassdoor est.)
Thermo Fisher Scientific,3.6,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1902,$10+ billion (USD),"Scientist II, Data Sciences","Saint Louis, MO",88K,116K,"$101,182",/yr (Glassdoor est.)
Amgen,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1980,$10+ billion (USD),Tech Lead Data Scientist,"Washington, DC",160K,193K,"$176,501",/yr (Employer est.)
Georgia Tech Research Institute,4.3,Education,Colleges & Universities,1885,$1 to $5 billion (USD),Machine Learning Graduate Research Assistant – EOSL – Summer 2024,"Atlanta, GA",57K,84K,"$69,462",/yr (Glassdoor est.)
ABBVIE,3.9,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2013,$10+ billion (USD),"Director, Statistics","Irvine, CA",142K,197K,"$166,907",/yr (Glassdoor est.)
Dell Technologies,4.1,Information Technology,Information Technology Support Services,1984,$10+ billion (USD),Senior Principal Engineer- AI/ML/HPC,"Austin, TX",119K,163K,"$139,372",/yr (Glassdoor est.)
Solvere Technical Group,4.7,,,,Unknown / Non-Applicable,CSDO Data Scientist,"San Diego, CA",98K,144K,"$120,750",/yr (Employer est.)
Eclerx,3.4,Management & Consulting,Business Consulting,2000,$100 to $500 million (USD),Consultant-Data Science,"Austin, TX",100K,120K,"$110,000",/yr (Employer est.)
HunaTek Government Solutions,4.6,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Lead Data Scientist/ Data Analyst,"Quantico, VA",94K,125K,"$108,123",/yr (Glassdoor est.)
Worldforce,4.2,,,,,Product Manager for AI,Remote,40K,130K,"$85,000",/yr (Employer est.)
BSI,3.9,Management & Consulting,Business Consulting,1901,$500 million to $1 billion (USD),Artificial Intelligence Auditor,United States,90K,124K,"$106,930",/yr (Employer est.)
Booz Allen,4.2,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),"Big Data Engineer, Junior","Norfolk, VA",45K,93K,"$69,150",/yr (Employer est.)
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968,$1 to $5 billion (USD),Data Scientist Subject Matter Expert,"Ashburn, VA",171K,284K,"$227,250",/yr (Employer est.)
"Daiichi Sankyo, Inc.",4.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1899,$5 to $10 billion (USD),"Director, Statistical Programming","Basking Ridge, NJ",132K,179K,"$153,939",/yr (Glassdoor est.)
"ENSCO, Inc.",4.0,Aerospace & Defense,Aerospace & Defense,1969,$100 to $500 million (USD),Junior Data Scientist,"Fairfax, VA",76K,117K,"$93,990",/yr (Glassdoor est.)
Georgia Tech Research Institute,4.3,Education,Colleges & Universities,1885,$1 to $5 billion (USD),Machine Learning Student Research Assistant - EOSL – Summer 2024,"Atlanta, GA",46K,74K,"$58,747",/yr (Glassdoor est.)
Bose,3.7,Manufacturing,Consumer Product Manufacturing,1964,$1 to $5 billion (USD),Machine Learning Research Co-Op,"Framingham, MA",103K,141K,"$120,721",/yr (Glassdoor est.)
HealthEquity,4.1,Financial Services,Financial Transaction Processing,2001,$100 to $500 million (USD),Sr Fraud Data Analyst,United States,72K,111K,"$91,500",/yr (Employer est.)
Uplight,3.5,"Energy, Mining & Utilities",Energy & Utilities,,Unknown / Non-Applicable,"Senior Data Scientist, Optimization",United States,115K,145K,"$130,000",/yr (Employer est.)
US National Gallery of Art,3.6,"Arts, Entertainment & Recreation",Culture & Entertainment,,Unknown / Non-Applicable,Information Technology Specialist (Data Scientist),"Washington, DC",118K,181K,"$149,589",/yr (Employer est.)
Intellibus,4.6,Information Technology,Information Technology Support Services,2015,Unknown / Non-Applicable,Sr AI Technical Consultant,"Reston, VA",98K,138K,"$116,441",/yr (Glassdoor est.)
Mayo Clinic,3.8,Healthcare,Health Care Services & Hospitals,,$10+ billion (USD),RTP-RESEARCH FELLOW- Artificial Intelligence,"Phoenix, AZ",102K,126K,"$113,308",/yr (Glassdoor est.)
Cadent,3.4,Media & Communication,Advertising & Public Relations,,Unknown / Non-Applicable,Data Scientist,"Philadelphia, PA",101K,147K,"$121,858",/yr (Glassdoor est.)
Booz Allen,4.2,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),Machine Learning Engineer,"El Segundo, CA",52K,119K,"$85,550",/yr (Employer est.)
"Amazon Development Center U.S., Inc.",3.7,Information Technology,Internet & Web Services,1994,$10+ billion (USD),"System Dev Engineer II, AI/ML ADC","Denver, CO",103K,103K,"$103,400",/yr (Employer est.)
Atmos Energy,4.0,"Energy, Mining & Utilities",Energy & Utilities,1906,$1 to $5 billion (USD),Sr Systems & Data Analyst,"Dallas, TX",84K,116K,"$98,626",/yr (Glassdoor est.)
White Cap,3.5,"Construction, Repair & Maintenance Services",Construction,2020,$1 to $5 billion (USD),Data Scientist,"Norcross, GA",79K,117K,"$95,676",/yr (Glassdoor est.)
UT Southwestern,3.9,Healthcare,Health Care Services & Hospitals,1943,$1 to $5 billion (USD),"Machine Learning Research Scientist, Neurology","Dallas, TX",97K,148K,"$119,930",/yr (Glassdoor est.)
"Amazon Development Center U.S., Inc.",3.7,Information Technology,Internet & Web Services,1994,$10+ billion (USD),"Applied Scientist II, Generative AI Innovation Center","San Francisco, CA",136K,136K,"$136,000",/yr (Employer est.)
U.S. Army DEVCOM Ground Vehicle Systems Center,3.8,Government & Public Administration,National Agencies,1775,Unknown / Non-Applicable,Senior HR Data Analyst,"Warren, MI",96K,148K,"$122,070",/yr (Employer est.)
"Amazon Web Services, Inc.",3.8,Information Technology,Internet & Web Services,2006,$10+ billion (USD),"Sr. Manager, Product Marketing, Generative AI-Powered Developer Tools","Seattle, WA",150K,150K,"$149,600",/yr (Employer est.)
W.L. Gore & Associates,3.3,Manufacturing,Machinery Manufacturing,1958,$1 to $5 billion (USD),Clinical Statistical Programmer - Remote,"Flagstaff, AZ",68K,97K,"$81,414",/yr (Glassdoor est.)
Disney,3.8,Media & Communication,Film Production,1923,$10+ billion (USD),Sr Data Scientist,"Lake Buena Vista, FL",109K,144K,"$125,122",/yr (Glassdoor est.)
"Amazon Web Services, Inc. - A97",3.7,Information Technology,Internet & Web Services,1994,$10+ billion (USD),"Applied Scientist III, Next Gen Developer Experience","Seattle, WA",136K,136K,"$136,000",/yr (Employer est.)
ByteDance,3.8,Information Technology,Internet & Web Services,2012,Unknown / Non-Applicable,Frontend Software Engineer - Applied Machine Learning Platform,"Seattle, WA",130K,246K,"$188,100",/yr (Employer est.)
Govcio LLC,3.1,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Data Scientist,"Aurora, CO",110K,130K,"$120,000",/yr (Employer est.)
Confluent,3.7,Information Technology,Computer Hardware Development,2014,Unknown / Non-Applicable,Senior Software Engineer- Machine Learning and AI Integration,United States,156K,183K,"$169,570",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),"Product Manager, Machine Learning","Menlo Park, CA",171K,238K,"$204,500",/yr (Employer est.)
Life Time,3.6,Personal Consumer Services,Beauty & Wellness,1992,$1 to $5 billion (USD),Basketball Statistician,"Oklahoma City, OK",37K,58K,"$46,149",/yr (Glassdoor est.)
TD Synnex - SHI for Chicago Public Schools (Central Office),4.1,,,,,"Manager, Enterprise Generative Artificial Intelligence","Chicago, IL",120K,140K,"$130,000",/yr (Employer est.)
University of Virginia,4.3,Education,Colleges & Universities,1819,$1 to $5 billion (USD),Intermediate Data Scientist,"Charlottesville, VA",100K,120K,"$110,000",/yr (Employer est.)
Archarithms Inc,3.4,Aerospace & Defense,Aerospace & Defense,2012,$1 to $5 million (USD),Senior AI Engineer,"Huntsville, AL",83K,130K,"$103,618",/yr (Glassdoor est.)
Klaviyo,4.0,Information Technology,Internet & Web Services,2012,Unknown / Non-Applicable,"Lead Data Scientist, ML Research","Boston, MA",125K,174K,"$147,663",/yr (Glassdoor est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Machine Learning Compiler Engineer,"Cupertino, CA",55.82,84.09,$69.95,/hr (Employer est.)
"Advanced Micro Devices, Inc",4.1,Information Technology,Computer Hardware Development,1969,$10+ billion (USD),MTS - Deep Learning Software Engineer - AI Models,"Austin, TX",140K,179K,"$158,338",/yr (Glassdoor est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Data Owner Lead - Voice operations,"Chicago, IL",55K,83K,"$67,321",/yr (Glassdoor est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"AIML - Machine Learning Engineer (Knowledge Extraction), Siri and Information Intelligence","Seattle, WA",132K,243K,"$187,400",/yr (Employer est.)
Store No. 8,4.2,,,,Unknown / Non-Applicable,"Senior Data Scientist, Tech","Hoboken, NJ",73K,127K,"$100,000",/yr (Employer est.)
Ginger Labs,5.0,,,,Unknown / Non-Applicable,Sr. Data Analyst,"San Francisco, CA",120K,160K,"$140,000",/yr (Employer est.)
Angi,3.5,Information Technology,Internet & Web Services,1995,$1 to $5 billion (USD),"Director, Data Science & Machine Learning","Seattle, WA",136K,222K,"$173,888",/yr (Glassdoor est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),"Data Scientist Lead, Sales Optimization","Columbus, OH",143K,210K,"$176,250",/yr (Employer est.)
Infosoft Teksolutions,4.0,Information Technology,Information Technology Support Services,1982,Unknown / Non-Applicable,Data Scientist 1 (USC),"Redondo Beach, CA",35.00,39.00,$37.00,/hr (Employer est.)
Clicklease,3.5,Financial Services,Financial Transaction Processing,2018,Unknown / Non-Applicable,Senior Machine Learning Engineer,"West Valley City, UT",140K,180K,"$160,000",/yr (Employer est.)
Altamira Technologies Corp.,4.1,Information Technology,Information Technology Support Services,2001,$25 to $100 million (USD),Data Scientist,"McLean, VA",103K,140K,"$119,947",/yr (Glassdoor est.)
Nissan,3.9,Manufacturing,Transportation Equipment Manufacturing,,$5 to $10 billion (USD),Sr. Data Scientist,"Franklin, TN",101K,139K,"$118,568",/yr (Glassdoor est.)
WTW,3.9,Management & Consulting,Business Consulting,1828,$10+ billion (USD),Senior Data Scientist,"Fort Lee, NJ",132K,193K,"$159,724",/yr (Glassdoor est.)
TSMC,3.1,Manufacturing,Electronics Manufacturing,1987,$10+ billion (USD),Data Scientist (5400),"San Jose, CA",150K,230K,"$190,000",/yr (Employer est.)
Senior Care Partners PACE,3.4,Healthcare,Health Care Services & Hospitals,2008,$5 to $25 million (USD),Sr. Finance & Data Analyst,"Battle Creek, MI",71K,101K,"$84,654",/yr (Glassdoor est.)
TikTok,3.4,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,"Machine Learning Engineer - Data Curation - AIGC, TikTok Monetization GenAI","Seattle, WA",138K,238K,"$187,625",/yr (Employer est.)
Footprint,3.2,Manufacturing,Consumer Product Manufacturing,2014,Unknown / Non-Applicable,Statistician / Data Scientist,"Gilbert, AZ",79K,130K,"$104,500",/yr (Employer est.)
Tria Federal,4.7,,,,,"Data Scientist - 1099, TS/SCI CI Poly","Reston, VA",100K,250K,"$175,000",/yr (Employer est.)
Connvertex Technologies,4.1,Information Technology,Information Technology Support Services,2008,Unknown / Non-Applicable,AI/ML Engineer,Remote,55.00,65.00,$60.00,/hr (Employer est.)
Carnegie Mellon University,4.4,Education,Colleges & Universities,1900,$1 to $5 billion (USD),AI Workforce Development Engineer,"Pittsburgh, PA",71K,106K,"$86,875",/yr (Glassdoor est.)
Mars,4.3,Manufacturing,Food & Beverage Manufacturing,1911,$10+ billion (USD),"Senior Counsel, Data Privacy & Security","Newark, NJ",125K,186K,"$152,766",/yr (Glassdoor est.)
National Aeronautics and Space Administration (NASA),4.4,Government & Public Administration,National Agencies,1958,$10+ billion (USD),Data scientist for new missions in the NASA GSFC Ocean Ecology Laboratory,"Greenbelt, MD",102K,175K,"$133,622",/yr (Glassdoor est.)
IPRO,3.9,Healthcare,Health Care Services & Hospitals,1984,$25 to $100 million (USD),Sr. Data Analyst,"Lake Success, NY",75K,85K,"$80,000",/yr (Employer est.)
Crusoe,3.4,Information Technology,Computer Hardware Development,2018,Unknown / Non-Applicable,R&D - Data Center Systems Architect - Senior,"Denver, CO",79K,124K,"$98,913",/yr (Glassdoor est.)
Booz Allen,4.2,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),Payment Policy Analyst,"Bethesda, MD",93K,212K,"$152,650",/yr (Employer est.)
Intellibus Ventures LLC,4.6,Information Technology,Information Technology Support Services,2015,Unknown / Non-Applicable,Artificial Intelligence Technical Consultant,"Herndon, VA",92K,127K,"$108,309",/yr (Glassdoor est.)
Clark Hill,3.4,Financial Services,Accounting & Tax,1892,$25 to $100 million (USD),Data Mining Analyst,United States,85K,115K,"$100,000",/yr (Employer est.)
Abacus.AI,4.7,Information Technology,Enterprise Software & Network Solutions,2019,Unknown / Non-Applicable,"Operations Research Engineering Lead, Abacus.AI, Inc., San Francisco, CA.","San Francisco, CA",150K,250K,"$200,000",/yr (Employer est.)
SS&C,3.3,Information Technology,Information Technology Support Services,1986,$5 to $10 billion (USD),Sr. Data Scientist,"Waltham, MA",92K,128K,"$108,659",/yr (Glassdoor est.)
Gates Corporation,3.5,Manufacturing,Machinery Manufacturing,1911,$1 to $5 billion (USD),Data Science Manager,"Denver, CO",116K,160K,"$136,139",/yr (Glassdoor est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Machine Learning Scientist - Natural Language Processing (NLP) - Vice President - Machine Learning Center of Excellence,"New York, NY",147K,260K,"$203,625",/yr (Employer est.)
Cash App,3.9,Information Technology,Computer Hardware Development,2013,Unknown / Non-Applicable,Decision Scientist - Dispute Automation,"San Francisco, CA",101K,168K,"$129,992",/yr (Glassdoor est.)
"Stable Analytics, LLC",4.0,,,,,Sr. Data Scientist,"Lexington, KY",105K,160K,"$132,500",/yr (Employer est.)
Agios Pharmaceuticals,4.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2008,$5 to $25 million (USD),Pharmacometrics Data Scientist,"Cambridge, MA",107K,151K,"$127,423",/yr (Glassdoor est.)
GSK,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1830,$10+ billion (USD),Principal Data Scientist,"Philadelphia, PA",122K,165K,"$141,800",/yr (Glassdoor est.)
Lenovo,3.9,Information Technology,Computer Hardware Development,1984,$10+ billion (USD),Solution Architect - AI,"Morrisville, NC",109K,157K,"$130,979",/yr (Glassdoor est.)
BluePath Labs,4.8,Government & Public Administration,National Agencies,2016,Unknown / Non-Applicable,Economic Trade Data Analyst – DOC BIS (Hybrid - TS/SCI required),"Washington, DC",81K,129K,"$102,224",/yr (Glassdoor est.)
US HQDA Field Operating Agencies and Staff Support Agencies,4.3,,,,,Data Scientist (DATA ENGINEER),"Arlington, VA",139K,181K,"$160,306",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),AWS Cloud Data Software Engineer III,"Wilmington, DE",128K,180K,"$154,125",/yr (Employer est.)
Maven Workforce Pvt. Ltd,3.7,Human Resources & Staffing,HR Consulting,2008,Unknown / Non-Applicable,Machine Learning Engineer,Remote,62.00,68.00,$65.00,/hr (Employer est.)
Hanwha Q Cells,3.0,"Energy, Mining & Utilities",Energy & Utilities,1999,$1 to $5 billion (USD),Sr. Data Analyst,"Cartersville, GA",68K,104K,"$84,339",/yr (Glassdoor est.)
Eclerx,3.4,Management & Consulting,Business Consulting,2000,$100 to $500 million (USD),Technical Program Manager – Data Science,"Austin, TX",120K,140K,"$130,000",/yr (Employer est.)
Roku,3.7,Information Technology,Information Technology Support Services,2002,$500 million to $1 billion (USD),"Data Scientist, Devices","San Jose, CA",77K,189K,"$133,000",/yr (Employer est.)
Ally Financial,3.8,Financial Services,Banking & Lending,1919,$5 to $10 billion (USD),Senior AI Product Analyst,"Charlotte, NC",72K,97K,"$84,011",/yr (Glassdoor est.)
FIS Global,3.7,Financial Services,Financial Transaction Processing,1968,$5 to $10 billion (USD),Sr. Business Data Analyst,"Cincinnati, OH",79K,110K,"$93,009",/yr (Glassdoor est.)
General Dynamics Land Systems US,3.4,Aerospace & Defense,Aerospace & Defense,1982,$1 to $5 billion (USD),Machine Learning/Artificial Intelligence Engineer,"Sterling Heights, MI",86K,117K,"$100,575",/yr (Glassdoor est.)
"Integrity Management Services, Inc.",4.4,Management & Consulting,Business Consulting,2009,Unknown / Non-Applicable,"Senior Statistician (Full-time, Remote)","Alexandria, VA",68K,112K,"$87,490",/yr (Glassdoor est.)
Clicklease,3.5,Financial Services,Financial Transaction Processing,2018,Unknown / Non-Applicable,Senior Data Scientist of Credit Risk Modeling,"West Valley City, UT",130K,170K,"$150,000",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Principal Applied Scientist - Speech,"Redmond, WA",134K,257K,"$195,200",/yr (Employer est.)
FedEx Services,3.9,Transportation & Logistics,Taxi & Car Services,2000,$1 to $5 million (USD),Senior Data Scientist - Marketing,"Harrison, AR",85K,113K,"$97,985",/yr (Glassdoor est.)
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968,$1 to $5 billion (USD),Data Scientist,"Washington, DC",100K,136K,"$116,804",/yr (Glassdoor est.)
"ENSCO, Inc.",4.0,Aerospace & Defense,Aerospace & Defense,1969,$100 to $500 million (USD),Data Scientist SME,"Fairfax, VA",98K,151K,"$121,486",/yr (Glassdoor est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),"Production Systems Engineer, Fleet AI Systems","Menlo Park, CA",191K,262K,"$226,500",/yr (Employer est.)
"ENSCO, Inc.",4.0,Aerospace & Defense,Aerospace & Defense,1969,$100 to $500 million (USD),Journeyman Data Scientist,"Fairfax, VA",81K,117K,"$97,160",/yr (Glassdoor est.)
ServiceNow,4.4,Information Technology,Enterprise Software & Network Solutions,2004,$1 to $5 billion (USD),Senior Data Scientist,"San Diego, CA",109K,186K,"$147,650",/yr (Employer est.)
FullStack Labs,4.4,Information Technology,Internet & Web Services,2013,Unknown / Non-Applicable,Senior AI Machine Learning Engineer - Remote - USA,"Phoenix, AZ",100K,150K,"$122,429",/yr (Glassdoor est.)
PayPal,3.9,Information Technology,Internet & Web Services,1998,$10+ billion (USD),Senior Machine Learning Engineer,"New York, NY",85K,205K,"$144,550",/yr (Employer est.)
Cognizant Technology Solutions,3.8,Information Technology,Information Technology Support Services,1994,$10+ billion (USD),Software Development/AI specialist,"Warren, MI",66K,98K,"$80,399",/yr (Glassdoor est.)
Georgia Transmission Corporation,3.9,"Energy, Mining & Utilities",Energy & Utilities,1996,$100 to $500 million (USD),"Data Analyst I, II, or Senior, System Reliability","Tucker, GA",73K,110K,"$89,738",/yr (Glassdoor est.)
Syntelligent Analytic Solutions,3.9,Telecommunications,"Cable, Internet & Telephone Providers",,Unknown / Non-Applicable,Data Scientist,"Springfield, VA",150K,175K,"$162,500",/yr (Employer est.)
Inovalon,2.8,Information Technology,Software Development,1998,$500 million to $1 billion (USD),Principal Machine Learning Engineer,Remote,126K,180K,"$153,206",/yr (Employer est.)
Starr Companies,3.3,Insurance,Insurance Carriers,1919,$1 to $5 billion (USD),AI Investment Analyst,"Atlanta, GA",65K,106K,"$83,232",/yr (Glassdoor est.)
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968,$1 to $5 billion (USD),Data Scientist III,"Denver, CO",108K,180K,"$144,250",/yr (Employer est.)
Zeta Global,3.8,Media & Communication,Advertising & Public Relations,2007,$100 to $500 million (USD),Data Cloud Solutions Associate,"New York, NY",80K,100K,"$90,000",/yr (Employer est.)
ICF,3.7,Management & Consulting,Business Consulting,1969,$1 to $5 billion (USD),Senior Business and Data Analyst (Remote),"Reston, VA",70K,119K,"$94,314",/yr (Employer est.)
Duke University,4.2,Education,Colleges & Universities,1838,$1 to $5 billion (USD),"Data Engineer (Analyst, IT)","Durham, NC",63K,98K,"$78,431",/yr (Glassdoor est.)
Verkada,3.5,Information Technology,Software Development,2016,Unknown / Non-Applicable,Senior Growth Data Scientist,"San Mateo, CA",120K,200K,"$160,000",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Software Engineer II - Data Engineer,"Jersey City, NJ",114K,140K,"$127,000",/yr (Employer est.)
Amazon.com Services LLC,3.7,Information Technology,Internet & Web Services,1994,$10+ billion (USD),"Applied Scientist II, AFT AI, Amazon Fulfillment Technologies (AFT)","Bellevue, WA",136K,136K,"$136,000",/yr (Employer est.)
Silimind,3.8,,,,,Artificial Intelligence Engineer,"Winter Haven, FL",60K,60K,"$60,000",/yr (Employer est.)
Skyline tech solutions,4.7,,,,,AI Engineer,"San Francisco, CA",80K,90K,"$85,000",/yr (Employer est.)
Amazon.com Services LLC,3.7,Information Technology,Internet & Web Services,1994,$10+ billion (USD),"Sr. SDE (Machine Learning), AGI Foundations","Bellevue, WA",135K,135K,"$134,500",/yr (Employer est.)
Mount Sinai,3.5,Healthcare,Health Care Services & Hospitals,2013,$1 to $5 billion (USD),Data Analytics Manager - Division of General Internal Medicine,"New York, NY",79K,118K,"$98,605",/yr (Employer est.)
Amentum,3.5,Aerospace & Defense,Aerospace & Defense,,Unknown / Non-Applicable,Data Scientist (O&M),"Washington, DC",119K,157K,"$136,500",/yr (Glassdoor est.)
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968,$1 to $5 billion (USD),Artificial Intelligence (AI) Systems/Tools Engineer/Administrator III,"Denver, CO",152K,254K,"$202,800",/yr (Employer est.)
Workday,4.2,Information Technology,Enterprise Software & Network Solutions,2005,$1 to $5 billion (USD),Machine Learning Engineer - Advanced Analytics and Core Data Management,"Pleasanton, CA",137K,240K,"$188,400",/yr (Employer est.)
Evermore Orlando Resort,4.0,,,,Unknown / Non-Applicable,Senior Revenue Data Analyst,"Orlando, FL",65K,65K,"$65,000",/yr (Employer est.)
Electronic Arts,4.0,Media & Communication,Video Game Publishing,1982,$5 to $10 billion (USD),Senior Data Analyst,"Redwood City, CA",100K,142K,"$120,850",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Data Scientist,United States,94K,183K,"$138,450",/yr (Employer est.)
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968,$1 to $5 billion (USD),"Computer Science, Software Engineer","Silverdale, WA",79K,133K,"$106,200",/yr (Employer est.)
Upen Group Inc,4.2,,,,,Junior Data Scientist,"Irving, TX",40K,64K,"$51,863",/yr (Employer est.)
Amex,4.2,Financial Services,Financial Transaction Processing,1850,$10+ billion (USD),Senior Manager-Data Science,"New York, NY",90K,165K,"$127,500",/yr (Employer est.)
OneTrust,2.7,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable,Principal Software Engineer - Responsible AI,"Atlanta, GA",128K,192K,"$159,956",/yr (Employer est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),Data Scientist,"Wellesley, MA",83K,175K,"$129,008",/yr (Employer est.)
Home Chef,3.3,Manufacturing,Consumer Product Manufacturing,2013,Unknown / Non-Applicable,"Sr. Data Analyst, Finance","Chicago, IL",85K,100K,"$92,500",/yr (Employer est.)
Grainger,4.1,Retail & Wholesale,Wholesale,1927,$10+ billion (USD),Senior Data Science Analyst (Hybrid),"Lake Forest, IL",88K,120K,"$103,212",/yr (Glassdoor est.)
HCA Healthcare,3.3,Healthcare,Health Care Services & Hospitals,1968,$10+ billion (USD),Consulting Software Engineer Data Science,"Nashville, TN",102K,137K,"$118,686",/yr (Glassdoor est.)
Integrated Intel Solutions,3.5,,,,Unknown / Non-Applicable,Data Scientist - Expert - Moon 451-04,"Chantilly, VA",103K,158K,"$127,370",/yr (Glassdoor est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),"Production Systems Engineer, Fleet AI Systems","Bellevue, WA",124K,191K,"$157,500",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),"DATA SCIENTIST II- Insights, Data Engineering & Analytics Group (IDEAs)","Redmond, WA",94K,183K,"$138,450",/yr (Employer est.)
TikTok,3.4,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,"Machine Learning Engineer, TikTok Ads Creative & Ecosystem","San Jose, CA",145K,250K,"$197,500",/yr (Employer est.)
Hadrian,4.1,,,,$5 to $25 million (USD),Data Scientist,"Los Angeles, CA",150K,270K,"$210,000",/yr (Employer est.)
The Cigna Group,3.6,Healthcare,Health Care Services & Hospitals,1865,$10+ billion (USD),Senior AI Engineer - Hybrid,"Bloomfield, CT",86K,130K,"$105,430",/yr (Glassdoor est.)
American Airlines,3.7,Transportation & Logistics,"Airlines, Airports & Air Transportation",1926,$10+ billion (USD),"Data Scientist/Senior Data Scientist, Customer Analytics","Dallas, TX",96K,131K,"$111,969",/yr (Glassdoor est.)
Empirico,4.0,Pharmaceutical & Biotechnology,Biotechnology,,Unknown / Non-Applicable,Senior Data Scientist - Bioinformatics,"San Diego, CA",80K,150K,"$115,000",/yr (Employer est.)
