employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
Ginger Labs,5.0,,,,Unknown / Non-Applicable,Sr. Data Analyst,"San Francisco, CA",120K,160K,"$140,000",/yr (Employer est.)
Venatore Llc,4.3,Information Technology,Information Technology Support Services,,$1 to $5 million (USD),Data Scientist,"Tampa, FL",80K,124K,"$99,636",/yr (Glassdoor est.)
Thalo Labs,3.8,,,,Unknown / Non-Applicable,Data Scientist,"Brooklyn, NY",130K,180K,"$155,000",/yr (Employer est.)
"Government Consulting Solutions, LLC",5.0,,,,Unknown / Non-Applicable,Data Scientist,"Arlington, VA",105K,143K,"$122,295",/yr (Glassdoor est.)
VTS3 Corp.,2.8,Human Resources & Staffing,HR Consulting,2016,Unknown / Non-Applicable,Data Scientist,"Trenton, NJ",87K,143K,"$111,635",/yr (Glassdoor est.)
NICE,3.9,Information Technology,Enterprise Software & Network Solutions,1986,$1 to $5 billion (USD),Data Scientist,"Atlanta, GA",90K,123K,"$105,247",/yr (Glassdoor est.)
Mayvin Inc,4.7,Management & Consulting,Business Consulting,2008,Unknown / Non-Applicable,Data Scientist,"Arlington, VA",90K,100K,"$95,000",/yr (Employer est.)
IT Consulting Services,4.2,Financial Services,Accounting & Tax,,$1 to $5 million (USD),Data Scientist,"Fairless Hills, PA",88K,121K,"$103,197",/yr (Glassdoor est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Data Scientist,United States,94K,183K,"$138,450",/yr (Employer est.)
Data Inc,3.9,Information Technology,Information Technology Support Services,1983,$25 to $100 million (USD),Senior Data Analyst,"New York, NY",60.00,70.00,$65.00,/hr (Employer est.)
Center for Family Health and Education,2.9,,,,Unknown / Non-Applicable,Data Scientist,"Panorama City, CA",83K,128K,"$103,023",/yr (Glassdoor est.)
Context Labs,3.5,Information Technology,Software Development,,Unknown / Non-Applicable,Data Scientist,"Cambridge, MA",101K,137K,"$117,991",/yr (Glassdoor est.)
"Stable Analytics, LLC",4.0,,,,,Data Scientist,"Lexington, KY",85K,140K,"$112,500",/yr (Employer est.)
BasisPath Inc,5.0,Government & Public Administration,National Agencies,2013,Unknown / Non-Applicable,Data Scientist,"Herndon, VA",102K,140K,"$119,357",/yr (Glassdoor est.)
Information Technology Strategies,3.9,Information Technology,Information Technology Support Services,2003,$5 to $25 million (USD),Data Scientist,"Springfield, VA",102K,140K,"$119,374",/yr (Glassdoor est.)
Cyber Infotech,4.2,,,,Unknown / Non-Applicable,Data Scientist,"Dallas, TX",86K,120K,"$101,597",/yr (Glassdoor est.)
Vibrant Emotional Health,2.5,Nonprofit & NGO,Civic & Social Services,,$5 to $25 million (USD),Research Data Scientist II,Remote,80K,92K,"$86,000",/yr (Employer est.)
Community Behavioral Health.,3.2,Healthcare,Health Care Services & Hospitals,1997,$500 million to $1 billion (USD),Sr. Data Analyst,"Philadelphia, PA",76K,84K,"$79,700",/yr (Employer est.)
Maven Workforce Pvt. Ltd,3.7,Human Resources & Staffing,HR Consulting,2008,Unknown / Non-Applicable,Machine Learning Engineer,Remote,62.00,68.00,$65.00,/hr (Employer est.)
PT78 LLC,3.3,Education,Education & Training Services,,Unknown / Non-Applicable,Lead Data Scientist,United States,172K,172K,"$172,000",/yr (Employer est.)
BlueConduit,3.8,Information Technology,Computer Hardware Development,,Unknown / Non-Applicable,Data Scientist,Remote,120K,135K,"$127,500",/yr (Employer est.)
Disruptive Solutions,4.0,,,,Unknown / Non-Applicable,Data Scientist,Remote,120K,140K,"$130,000",/yr (Employer est.)
Online Commerce Group (OCG),4.2,Manufacturing,Consumer Product Manufacturing,,Unknown / Non-Applicable,Data Scientist - Generative AI,"Montgomery, AL",78K,124K,"$98,463",/yr (Glassdoor est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),Data Scientist - Provider Payments,"Boston, MA",76K,155K,"$115,103",/yr (Employer est.)
Axcelis Technologies Inc.,4.1,Manufacturing,Machinery Manufacturing,1995,$100 to $500 million (USD),Data Scientist I,"Beverly, MA",89K,124K,"$105,301",/yr (Glassdoor est.)
Syntelligent Analytic Solutions,3.9,Telecommunications,"Cable, Internet & Telephone Providers",,Unknown / Non-Applicable,Data Scientist,"Springfield, VA",150K,175K,"$162,500",/yr (Employer est.)
Home Chef,3.3,Manufacturing,Consumer Product Manufacturing,2013,Unknown / Non-Applicable,"Sr. Data Analyst, Finance","Chicago, IL",85K,100K,"$92,500",/yr (Employer est.)
FEDERAL HOME LOAN BANKS OFFICE OF FINANCE,3.4,Financial Services,Banking & Lending,,$5 to $25 million (USD),Capital Markets Quantitative Data Analyst,"Reston, VA",94K,135K,"$113,048",/yr (Glassdoor est.)
American Health Marketplace,3.5,Insurance,Insurance Agencies & Brokerages,,Unknown / Non-Applicable,Junior Data Scientist,"Fort Lauderdale, FL",18.00,20.00,$19.00,/hr (Employer est.)
Altamira Technologies Corp.,4.1,Information Technology,Information Technology Support Services,2001,$25 to $100 million (USD),Data Scientist,"McLean, VA",103K,140K,"$119,947",/yr (Glassdoor est.)
Astrana Health,3.6,,,,,Junior Data Scientist,Remote,100K,110K,"$105,000",/yr (Employer est.)
Parafin,4.1,Financial Services,Financial Transaction Processing,2020,Unknown / Non-Applicable,Data Scientist (Experienced),"San Francisco, CA",170K,225K,"$197,500",/yr (Employer est.)
Infosoft Teksolutions,4.0,Information Technology,Information Technology Support Services,1982,Unknown / Non-Applicable,Data Scientist 1 (USC),"Redondo Beach, CA",35.00,39.00,$37.00,/hr (Employer est.)
Asana,4.2,Information Technology,Enterprise Software & Network Solutions,2008,Unknown / Non-Applicable,"Staff Data Scientist, AI","San Francisco, CA",202K,316K,"$259,000",/yr (Employer est.)
Jackson Lewis,3.9,Legal,Legal,1958,$100 to $500 million (USD),Data Scientist,"Houston, TX",81K,116K,"$96,735",/yr (Glassdoor est.)
Lukos,4.8,Financial Services,Accounting & Tax,,$1 to $5 million (USD),Data Scientist,"Macdill AFB, FL",75K,116K,"$92,958",/yr (Glassdoor est.)
Actfore,4.7,Information Technology,Information Technology Support Services,2022,$5 to $25 million (USD),Junior Data Scientist,"Reston, VA",82K,123K,"$100,654",/yr (Glassdoor est.)
