employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
450,2.9,24,77,1986.0,0,313,50000.0,100000.0,75000.0,1,0,1,0,0,0,1,0
782,4.4,13,12,1986.0,0,395,101000.0,146000.0,121306.0,3,1,0,0,0,0,1,0
398,4.0,5,72,2004.0,5,253,130000.0,160000.0,145000.0,2,0,1,0,1,0,0,0
1032,3.7,13,12,2002.0,3,16,65000.0,102000.0,81171.0,2,1,0,0,0,0,1,0
302,4.3,24,77,1986.0,0,395,130000.0,150000.0,140000.0,3,0,1,0,1,0,0,0
454,4.0,10,30,1986.0,2,90,81000.0,117000.0,97213.0,2,1,0,0,0,0,1,0
702,4.2,24,77,1986.0,0,395,89000.0,126000.0,105650.0,3,1,0,0,0,0,1,0
244,4.3,10,30,1984.0,9,315,102000.0,135000.0,117208.0,3,1,0,0,0,0,1,0
577,3.4,8,44,1986.0,5,385,80000.0,100000.0,90000.0,2,0,1,0,0,0,1,0
585,5.0,24,77,1986.0,0,160,86000.0,114000.0,98792.0,3,1,0,0,0,0,1,0
938,4.9,0,2,2000.0,3,108,82000.0,136000.0,105659.0,3,1,0,0,0,0,1,0
614,4.0,12,50,1995.0,0,313,87000.0,116000.0,101060.0,2,0,1,0,0,0,1,0
195,3.6,24,77,1986.0,0,125,88000.0,123000.0,104115.0,2,1,0,0,0,0,1,0
1015,4.0,10,45,2006.0,3,263,119040.0,119040.0,119040.0,2,0,1,0,0,0,1,0
125,4.1,10,45,2000.0,7,73,139000.0,139000.0,138500.0,3,0,1,0,0,0,1,0
548,3.9,10,68,2001.0,5,332,202809.6,202809.6,202809.6,2,0,1,0,0,0,1,0
303,4.1,24,77,1986.0,3,281,111000.0,161000.0,136325.0,3,0,1,0,0,0,1,0
310,4.9,10,45,2003.0,0,218,107000.0,140000.0,122062.0,3,1,0,0,0,0,1,0
1192,3.9,7,41,2010.0,0,369,100000.0,140000.0,120000.0,2,0,1,0,1,0,0,0
295,4.8,7,43,2017.0,0,385,175000.0,225000.0,200000.0,3,0,1,0,0,0,1,0
1201,4.4,9,39,1999.0,4,93,133000.0,179000.0,154258.0,3,1,0,0,0,0,1,0
707,4.2,4,29,1986.0,0,38,91000.0,118000.0,103767.0,3,1,0,0,0,0,1,0
522,3.9,13,64,1983.0,0,367,74000.0,116000.0,92692.0,2,1,0,0,0,0,1,0
1195,4.6,24,77,1986.0,0,171,96000.0,115200.0,105600.0,3,0,1,0,0,1,0,0
1030,5.0,24,77,1986.0,0,329,70000.0,100000.0,85000.0,3,0,1,0,0,0,1,0
154,3.3,24,77,1986.0,0,73,86000.0,124000.0,103389.0,2,1,0,0,0,0,1,0
757,4.2,13,64,1986.0,0,332,245000.0,310000.0,277500.0,3,0,1,0,0,0,1,0
718,4.0,5,0,1986.0,0,282,140160.0,145920.0,143040.0,2,0,1,0,0,0,1,0
419,4.4,1,75,2013.0,4,313,150000.0,205000.0,177500.0,3,0,1,0,0,0,1,0
501,3.1,10,48,2010.0,0,218,107000.0,141000.0,123962.0,2,0,1,0,1,0,0,0
804,3.4,10,48,2007.0,4,332,108000.0,159000.0,131425.0,2,1,0,0,0,0,1,0
203,4.1,5,49,1931.0,7,200,117000.0,187000.0,152066.0,3,0,1,0,0,0,1,0
519,4.4,15,61,2010.0,5,264,108000.0,180000.0,144179.0,3,0,1,0,0,0,1,0
951,5.0,24,77,1986.0,0,390,87000.0,129000.0,106005.0,3,1,0,0,0,0,1,0
290,4.3,13,64,2007.0,0,68,121000.0,169000.0,142950.0,3,1,0,0,0,0,1,0
685,3.5,15,1,1987.0,5,384,110000.0,215000.0,162500.0,2,0,1,0,0,0,1,0
1005,3.1,5,6,1986.0,0,188,108000.0,144000.0,124917.0,2,1,0,0,0,1,0,0
