employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician,average_base_salary
848,4.1,10,18,2006.0,0,332,82000.0,154000.0,3,0,1,0,0,0,1,0,117768.0
1023,4.1,24,77,1986.0,0,51,130000.0,180000.0,3,0,1,0,0,0,1,0,155000.0
158,3.3,10,68,2001.0,6,385,113000.0,174000.0,2,0,1,0,0,0,1,0,143350.0
705,4.1,5,6,1999.0,0,331,96000.0,124800.0,3,0,1,0,0,0,1,0,110400.0
523,3.7,24,77,1986.0,0,171,96000.0,115200.0,2,0,1,0,0,0,1,0,105600.0
430,3.9,10,45,1997.0,7,8,92000.0,125000.0,2,1,0,0,0,0,1,0,107096.0
169,4.2,13,12,1914.0,8,109,52000.0,119000.0,3,0,1,1,0,0,0,0,85550.0
1166,4.1,24,77,1986.0,7,395,78000.0,117000.0,3,1,0,0,0,0,0,1,95843.0
699,4.6,10,18,1993.0,8,340,176000.0,334000.0,3,0,1,0,0,1,0,0,254750.0
808,3.7,10,68,2004.0,0,233,61000.0,98000.0,2,1,0,0,1,0,0,0,77115.0
89,3.7,24,77,1986.0,0,313,100000.0,125000.0,2,0,1,0,1,0,0,0,112500.0
35,4.1,10,18,1969.0,9,18,93000.0,132000.0,3,1,0,0,0,1,0,0,110760.0
34,3.2,3,16,1931.0,0,80,60000.0,108000.0,2,0,1,0,1,0,0,0,84129.0
415,4.1,18,8,1830.0,9,104,133000.0,166000.0,3,1,0,0,0,0,1,0,148644.0
456,4.1,11,47,1914.0,5,210,79000.0,146000.0,3,0,1,0,0,0,1,0,112100.0
680,4.3,10,18,1975.0,9,309,134000.0,257000.0,3,0,1,1,0,0,0,0,195200.0
991,4.1,24,77,1986.0,0,73,120000.0,140000.0,3,0,1,0,0,0,1,0,130000.0
72,3.7,10,48,1994.0,9,29,136000.0,136000.0,2,0,1,0,0,0,1,0,136000.0
98,4.2,10,18,1976.0,9,93,107174.4,161452.80000000002,3,0,1,1,0,0,0,0,134304.0
551,4.4,10,68,1983.0,9,331,141000.0,180000.0,3,1,0,0,0,0,1,0,159240.0
380,3.4,5,6,1986.0,3,316,94000.0,135000.0,2,1,0,0,0,0,1,0,113048.0
970,4.2,24,77,1986.0,0,154,73000.0,127000.0,3,0,1,0,0,0,1,0,100000.0
501,3.1,10,48,2010.0,0,218,140000.0,198000.0,2,0,1,0,0,0,1,0,169000.0
1,5.0,10,18,1994.0,2,10,71000.0,106000.0,3,1,0,0,0,0,1,0,86860.0
792,3.5,10,30,1998.0,7,269,90000.0,128000.0,2,1,0,0,0,0,1,0,107099.0
550,4.7,10,68,2007.0,3,316,77000.0,115000.0,3,1,0,0,0,0,1,0,94075.0
506,4.1,10,18,1968.0,9,153,145000.0,217000.0,3,0,1,0,0,0,1,0,180906.0
1055,4.9,10,45,2021.0,2,313,90000.0,90000.0,3,0,1,1,0,0,0,0,90000.0
882,4.2,4,54,1986.0,0,361,75000.0,112000.0,3,1,0,0,0,0,1,0,91548.0
